dateTime,country,city,region,profile,age,gender,surveyType,purpose,concern,whenSiteUsed,purchasedBefore,purchaseExpectInNextMonth,productKnewWhatWanted,behavNumVisits,behavReferral,behavPageviews,avgAmountSpent
29.07.14,United States,Caledonia,137,New customer,55-64,Female,At Exit,Buy from this site,Shipping costs,In the past month,No,5,Somewhat,10,Direct,10+,55.17
29.07.14,United States,Beltsville,84,New customer,NA,Male,At Arrival Only,Buy from this site,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,1,NA,2,Unbranded Search,10+,92.28
29.07.14,United States,Whiting,947,New customer,25-34,Female,At Exit,Compare pricing,Ease of returning (if I am not satisfied with product),In the past week,No,4,Somewhat,12,Direct,2 to 3,94.42
29.07.14,United States,Janesville,422,New customer,25-34,Female,At Arrival and Exit,Products,Warranties/product guarantees,In the past year,"Yes, once",3,Yes,5,Direct,2 to 3,99.41
29.07.14,United States,Chicago,176,New customer,NA,Male,At Arrival Only,Buy from this site,Fast delivery,More than a year ago,No,4,No,38,Direct,1,112.17
29.07.14,Canada,Leamington,478,New customer,NA,Male,At Arrival and Exit,Products,Shipping costs,Never. This is my first visit,NA,3,Somewhat,7,Unbranded Search,10+,71.04
29.07.14,United States,Moorestown,565,New customer,35-44,Female,At Arrival and Exit,Buy from this site,Ease of returning (if I am not satisfied with product),In the past month,"Yes, once",4,Somewhat,5,Direct,10+,76.91
29.07.14,Israel,Elmwood Park,NA,New customer,NA,Female,At Arrival Only,Products,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,3,NA,23,Unbranded Search,1,156.13
29.07.14,United States,Downers Grove,244,New customer,NA,Female,At Arrival Only,Buy from this site,Shipping costs,In the past month,"Yes, more than once",4,Somewhat,8,Direct,2 to 3,108.91
29.07.14,United States,Hurricane,406,New customer,NA,Female,At Arrival Only,Buy from this site,Shipping costs,In the past month,"Yes, more than once",1,NA,26,Self Referred,4 to 6,171.48
29.07.14,United States,Orlando,645,Frequent customer,25-34,Female,At Arrival and Exit,Compare pricing,Shipping costs,In the past year,"Yes, once",3,Somewhat,81,Referred,10+,163.69
29.07.14,United States,Seattle,798,Frequent customer,55-64,Female,At Exit,Products,Shipping costs,In the past month,"Yes, more than once",3,No,21,Direct,1,136.69
29.07.14,United States,Mankato,514,Other,NA,Male,At Arrival Only,Buy from this site,None / no uncertainties,NA,NA,4,Somewhat,12,Direct,4 to 6,99.2
29.07.14,United States,Burbank,132,New customer,35-44,Female,At Arrival and Exit,Buy from this site,Shipping costs,In the past year,"Yes, more than once",3,Somewhat,2,Direct,10+,77.48
29.07.14,United States,Albany,15,New customer,NA,Prefer not to answer,At Arrival Only,Compare pricing,Warranties/product guarantees,In the past month,No,3,No,21,Direct,4 to 6,122.81
29.07.14,United States,Denver,235,New customer,NA,Female,At Arrival and Exit,Buy from this site,Shipping costs,In the past year,"Yes, more than once",5,Somewhat,3,Direct,2 to 3,31.09
29.07.14,United States,Ridgewood,727,Frequent customer,NA,Male,At Exit,Resources,Product durability/quality,Never. This is my first visit,NA,3,NA,25,Unbranded Search,1,112.28
29.07.14,United States,Lincoln,489,New customer,35-44,Female,At Arrival and Exit,Buy from this site,None / no uncertainties,In the past week,No,5,Yes,19,Direct,10+,71.61
29.07.14,United States,Poland,689,Employee,Less than 18,Female,At Exit,Buy from this site,Fast delivery,In the past week,No,5,Yes,5,Direct,10+,57.09
29.07.14,United States,Astoria,43,Employee,55-64,Female,At Exit,NA,None / no uncertainties,Never. This is my first visit,NA,3,NA,27,Referred,4 to 6,145.32
29.07.14,United States,Hillsboro,380,New customer,NA,Male,At Arrival Only,Resources,Shipping costs,In the past week,No,3,NA,13,Direct,1,109.62
29.07.14,United States,Reading,716,Employee,NA,Female,At Arrival Only,Products,Product durability/quality,In the past year,"Yes, once",1,Yes,18,Direct,7 to 9,179.91
29.07.14,United States,Sacramento,754,New customer,NA,Male,At Arrival Only,Buy from this site,Ease of returning (if I am not satisfied with product),In the past year,"Yes, more than once",3,Somewhat,6,Branded Search,10+,97.76
29.07.14,United States,Lincoln,489,Frequent customer,25-34,Female,At Exit,Products,Product effectiveness/will it work,In the past month,"Yes, more than once",3,Somewhat,7,Unbranded Search,2 to 3,115.92
29.07.14,United States,New York,598,Occasional customer,35-44,Female,At Arrival and Exit,Buy from this site,Product durability/quality,In the past month,"Yes, more than once",4,Somewhat,14,Unbranded Search,10+,103.8
29.07.14,United States,Winter Garden,958,New customer,35-44,Female,At Exit,Buy from this site,None / no uncertainties,In the past year,"Yes, more than once",3,Yes,13,Direct,10+,118.52
29.07.14,United States,Walton,912,Other,45-54,Female,At Exit,Buy from this site,None / no uncertainties,In the past month,"Yes, more than once",3,Yes,7,Branded Search,4 to 6,116.22
29.07.14,United States,Albuquerque,16,New customer,NA,Male,At Arrival Only,Buy from this site,None / no uncertainties,In the past month,"Yes, once",3,Yes,3,Unbranded Search,2 to 3,83.89
29.07.14,United States,Waco,902,New customer,NA,Female,At Arrival Only,Compare pricing,Shipping costs,In the past month,"Yes, once",3,Somewhat,10,Self Referred,1,135.87
29.07.14,United States,Reading,716,Frequent customer,NA,Female,At Arrival Only,Buy from this site,Shipping costs,In the past year,"Yes, more than once",4,Somewhat,31,Direct,4 to 6,148.18
29.07.14,United States,Bethlehem,91,New customer,35-44,Female,At Arrival and Exit,Buy from this site,Shipping costs,In the past month,"Yes, once",3,Yes,31,Direct,1,132.3
29.07.14,United States,Elizabeth City,268,New customer,NA,Male,At Arrival Only,Resources,Whether this is right for my child,Never. This is my first visit,NA,1,NA,13,Referred,1,129.72
29.07.14,United States,Minneapolis,554,New customer,35-44,Female,At Exit,Buy from this site,None / no uncertainties,In the past month,No,3,No,18,Direct,10+,125.03
29.07.14,Sweden,Märsta,521,New customer,45-54,Female,At Exit,Compare pricing,None / no uncertainties,In the past year,No,3,Yes,6,Unbranded Search,2 to 3,103.06
29.07.14,United Kingdom,Basingstoke,62,New customer,25-34,Female,At Arrival and Exit,Compare pricing,Shipping costs,In the past month,No,3,Somewhat,20,Self Referred,7 to 9,123.53
29.07.14,United States,North Port,616,New customer,NA,Male,At Arrival Only,Products,None / no uncertainties,In the past year,"Yes, once",1,NA,10,Direct,2 to 3,124.47
29.07.14,United States,Holland,391,New customer,25-34,Female,At Arrival and Exit,Compare pricing,Fast delivery,In the past year,"Yes, once",3,Somewhat,5,Direct,4 to 6,99.41
29.07.14,United States,Marietta,516,New customer,NA,Male,At Arrival Only,Other,None / no uncertainties,In the past year,"Yes, more than once",1,NA,2,Unbranded Search,10+,92.28
29.07.14,Canada,Victoria,897,Other,NA,Female,At Exit,Products,None / no uncertainties,In the past year,No,2,Yes,30,Direct,1,158.32
29.07.14,United States,Lawton,477,New customer,NA,Male,At Arrival Only,Compare pricing,Shipping costs,In the past month,No,3,No,13,Direct,1,109.62
29.07.14,United States,Wake Forest,905,Occasional customer,NA,Female,At Arrival Only,Products,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,1,NA,20,Unbranded Search,4 to 6,176.13
29.07.14,United States,Woodbridge,962,Occasional customer,NA,Female,At Arrival Only,Buy from this site,Shipping costs,In the past year,NA,3,No,11,Direct,4 to 6,144.08
29.07.14,United States,Orangeburg,641,Other,45-54,Female,At Exit,Buy from this site,Ease of returning (if I am not satisfied with product),In the past week,"Yes, once",4,Somewhat,9,Direct,7 to 9,98.74
29.07.14,United States,Peyton,674,New customer,45-54,Female,At Arrival and Exit,Buy from this site,None / no uncertainties,In the past month,"Yes, once",5,Somewhat,4,Direct,10+,40.45
29.07.14,United States,Oklahoma City,632,New customer,NA,Male,At Arrival and Exit,Products,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,8,Direct,10+,77.31
29.07.14,United States,Allentown,20,Frequent customer,35-44,Female,At Arrival and Exit,Buy from this site,Shipping costs,In the past year,"Yes, more than once",3,No,7,Direct,10+,114.72
29.07.14,United States,Charlotte,166,New customer,NA,Male,At Arrival and Exit,Buy from this site,Shipping costs,In the past week,No,4,Somewhat,7,Unbranded Search,4 to 6,48.54
29.07.14,United States,Germantown,325,Frequent customer,NA,Female,At Arrival Only,Buy from this site,None / no uncertainties,In the past month,"Yes, more than once",5,Somewhat,4,Direct,10+,78.83
29.07.14,United States,Stillwater,834,Frequent customer,45-54,Female,At Arrival and Exit,Products,None / no uncertainties,In the past month,No,4,Somewhat,42,Direct,2 to 3,131.65
29.07.14,United States,Norwalk,622,New customer,25-34,Female,At Arrival and Exit,Resources,Product effectiveness/will it work,Never. This is my first visit,NA,3,NA,13,Unbranded Search,4 to 6,116.12
29.07.14,United States,South Lyon,820,New customer,NA,Male,At Arrival Only,Products,None / no uncertainties,In the past month,No,3,No,20,Direct,1,121.83
29.07.14,United States,Highland,376,New customer,35-44,Female,At Exit,Products,None / no uncertainties,In the past year,"Yes, once",3,Somewhat,2,Direct,10+,81.08
29.07.14,United States,Silver Spring,812,Occasional customer,55-64,Female,At Exit,Buy from this site,Product effectiveness/will it work,In the past year,"Yes, more than once",4,Somewhat,40,Direct,1,122.4
29.07.14,United States,Fond Du Lac,301,Occasional customer,55-64,Female,At Arrival and Exit,Products,Shipping costs,In the past year,"Yes, once",3,Somewhat,14,Direct,10+,122.7
29.07.14,United States,Woodstock,966,Frequent customer,55-64,Female,At Arrival and Exit,Resources,None / no uncertainties,In the past month,"Yes, once",3,Somewhat,13,Direct,7 to 9,130.7
29.07.14,United States,Lancaster,470,New customer,NA,Male,At Exit,Resources,Shipping costs,In the past year,"Yes, once",3,Somewhat,3,Direct,10+,54.09
30.07.14,United States,Seattle,798,Other,NA,Male,At Arrival and Exit,Other,Product effectiveness/will it work,Never. This is my first visit,NA,2,NA,20,Unbranded Search,4 to 6,116.31
30.07.14,United States,Minneapolis,554,New customer,35-44,Female,At Arrival and Exit,Compare pricing,None / no uncertainties,In the past month,"Yes, more than once",3,Somewhat,14,Referred,4 to 6,120
30.07.14,United States,Elmwood Park,272,New customer,NA,Male,At Arrival Only,Buy from this site,Product durability/quality,In the past week,No,1,NA,17,Direct,10+,135.08
30.07.14,United States,Amarillo,23,Other,35-44,Female,At Exit,Products,Fast delivery,In the past month,"Yes, once",3,Somewhat,1,Direct,4 to 6,77.3
30.07.14,Israel,Ramat Gan,712,Employee,NA,Male,At Arrival Only,Products,None / no uncertainties,NA,NA,3,Somewhat,37,Unbranded Search,10+,146.32
30.07.14,Canada,Brockville,118,Other,NA,Male,At Arrival Only,Products,Shipping costs,Never. This is my first visit,NA,2,Yes,14,Referred,4 to 6,134.18
30.07.14,United States,Brick,113,Employee,NA,Male,At Arrival Only,Resources,Ease of returning (if I am not satisfied with product),In the past month,No,4,Somewhat,3,Direct,4 to 6,73.57
30.07.14,Australia,Adelaide,6,Occasional customer,55-64,Female,At Exit,Buy from this site,Shipping costs,In the past month,"Yes, once",3,Somewhat,3,Direct,7 to 9,91.89
30.07.14,India,Delhi,233,Frequent customer,NA,Male,At Arrival and Exit,Resources,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,3,Yes,3,Unbranded Search,2 to 3,69.87
30.07.14,United States,Silver Spring,812,New customer,NA,Male,At Exit,Products,None / no uncertainties,Never. This is my first visit,NA,1,NA,2,Social,1,66.08
30.07.14,Australia,Turramurra,877,Occasional customer,45-54,Female,At Arrival and Exit,Products,Product effectiveness/will it work,Never. This is my first visit,NA,3,No,7,Social,10+,110.04
30.07.14,United States,Dacula,217,New customer,35-44,Female,At Arrival and Exit,Buy from this site,Shipping costs,In the past month,"Yes, once",3,Yes,15,Direct,10+,117.78
30.07.14,United States,Morehead,567,Employee,NA,Male,At Exit,Resources,None / no uncertainties,In the past year,"Yes, more than once",3,Somewhat,39,Direct,4 to 6,121.17
30.07.14,Australia,Melbourne,534,New customer,NA,Female,At Arrival Only,Products,Shipping costs,Never. This is my first visit,NA,3,Somewhat,4,Unbranded Search,2 to 3,117.55
30.07.14,United States,Norfolk,608,New customer,45-54,Female,At Exit,Compare pricing,Whether this is right for my child,In the past year,"Yes, once",4,No,12,Direct,2 to 3,94.42
30.07.14,United States,Springfield,827,New customer,NA,Female,At Arrival Only,Buy from this site,Product effectiveness/will it work,In the past year,"Yes, once",4,Somewhat,37,Direct,10+,140.74
30.07.14,United States,Powhatan,699,Frequent customer,55-64,Female,At Arrival and Exit,Resources,None / no uncertainties,In the past week,"Yes, more than once",3,NA,4,Direct,1,107.13
30.07.14,United States,Rocky River,738,New customer,NA,Male,At Arrival Only,Buy from this site,Shipping costs,In the past year,"Yes, more than once",4,Yes,20,Direct,10+,95.73
30.07.14,United States,Loveland,504,Frequent customer,25-34,Female,At Arrival and Exit,Products,Whether this is right for my child,Never. This is my first visit,NA,3,Somewhat,49,Direct,2 to 3,157.24
30.07.14,United States,Purcellville,706,New customer,NA,Female,At Arrival Only,Buy from this site,Shipping costs,Never. This is my first visit,NA,4,Yes,8,Direct,10+,108.91
30.07.14,United States,Rowland Heights,746,Occasional customer,NA,Male,At Arrival Only,Resources,None / no uncertainties,More than a year ago,"Yes, once",3,NA,5,Direct,2 to 3,100.41
30.07.14,United States,Glenside,330,Occasional customer,45-54,Female,At Exit,Buy from this site,Shipping costs,In the past week,"Yes, more than once",3,Somewhat,18,Direct,0,127.73
30.07.14,United States,Cape Canaveral,146,Frequent customer,45-54,Female,At Exit,Compare pricing,Shipping costs,In the past month,"Yes, more than once",3,Yes,30,Direct,10+,143.82
30.07.14,United States,Mount Holly,574,New customer,NA,Male,At Arrival Only,Resources,Shipping costs,In the past month,No,4,NA,5,Direct,10+,68.01
30.07.14,United States,Cushing,216,New customer,45-54,Female,At Arrival and Exit,Resources,Product effectiveness/will it work,In the past week,"Yes, once",3,NA,11,Direct,1,112.78
30.07.14,United States,Northborough,620,Occasional customer,45-54,Female,At Exit,Products,Product durability/quality,In the past month,"Yes, more than once",5,Somewhat,6,Direct,2 to 3,54.86
30.07.14,United States,Rochester,732,Occasional customer,55-64,Female,At Exit,Products,Shipping costs,Never. This is my first visit,NA,3,Yes,11,Unbranded Search,1,117.88
30.07.14,United States,Brooklyn,120,Frequent customer,35-44,Female,At Arrival and Exit,Buy from this site,Product durability/quality,In the past month,"Yes, more than once",3,Somewhat,20,Direct,1,139.31
30.07.14,United States,Hutto,408,Occasional customer,25-34,Female,At Arrival and Exit,Buy from this site,Ease of returning (if I am not satisfied with product),In the past month,No,5,Somewhat,5,Direct,7 to 9,51.21
30.07.14,United States,Wrangell,969,Other,NA,Male,At Arrival Only,Compare pricing,Product effectiveness/will it work,In the past month,"Yes, once",3,Somewhat,58,Direct,1,150.81
30.07.14,United States,Bluffton,99,New customer,NA,Female,At Arrival Only,Buy from this site,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,4,Yes,30,Unbranded Search,4 to 6,138.94
30.07.14,United States,Staten Island,829,New customer,Prefer not to answer,Prefer not to answer,At Arrival and Exit,Compare pricing,Shipping costs,In the past month,No,3,Somewhat,7,Direct,4 to 6,71.04
30.07.14,United States,San Antonio,767,New customer,35-44,Female,At Exit,Buy from this site,Ease of returning (if I am not satisfied with product),In the past month,"Yes, more than once",4,Somewhat,33,Direct,10+,114.65
30.07.14,South Africa,Pretoria,701,Other,NA,Male,At Arrival Only,Resources,Warranties/product guarantees,Never. This is my first visit,NA,5,NA,10,Unbranded Search,0,63.55
30.07.14,United States,Los Angeles,501,Occasional customer,NA,Prefer not to answer,At Arrival Only,Buy from this site,Product effectiveness/will it work,In the past month,"Yes, once",4,Somewhat,35,Direct,10+,114.43
30.07.14,United States,Attleboro,46,Other,55-64,Female,At Exit,Compare pricing,Fast delivery,Never. This is my first visit,NA,3,Somewhat,19,Unbranded Search,4 to 6,136.19
30.07.14,United States,Chicago,176,New customer,NA,Female,At Arrival Only,Resources,None / no uncertainties,Never. This is my first visit,NA,3,NA,57,Unbranded Search,10+,174.28
30.07.14,United States,Ypsilanti,977,New customer,NA,Male,At Exit,Products,None / no uncertainties,Never. This is my first visit,NA,1,NA,11,Unbranded Search,10+,100.18
30.07.14,United States,Los Lunas,502,Occasional customer,45-54,Female,At Exit,Compare pricing,None / no uncertainties,Never. This is my first visit,NA,3,Yes,13,Referred,1,124.82
30.07.14,United States,Leavenworth,480,Frequent customer,NA,Female,At Arrival Only,Products,None / no uncertainties,In the past week,"Yes, once",5,Yes,10,Direct,1,97.15
30.07.14,United States,Los Angeles,501,Employee,55-64,Female,At Exit,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,2,Somewhat,12,Self Referred,10+,142.1
30.07.14,United States,Seneca,802,Occasional customer,NA,Male,At Exit,Products,Shipping costs,Never. This is my first visit,NA,1,NA,10,Referred,2 to 3,100.97
30.07.14,United States,Salt Lake City,765,New customer,35-44,Female,At Exit,Products,None / no uncertainties,In the past month,"Yes, once",4,Somewhat,5,Self Referred,4 to 6,76.91
30.07.14,United States,Lexington,488,Frequent customer,NA,Female,At Exit,Compare pricing,Other,In the past week,"Yes, more than once",4,Somewhat,10,Direct,1,102.95
30.07.14,United States,Broken Arrow,119,New customer,Less than 18,Male,At Arrival and Exit,Buy from this site,Shipping costs,In the past year,"Yes, once",3,Somewhat,9,Direct,10+,76.06
