"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"14","RT @shmesm2: felix was trying to guess chronosaurus
but he was like ""corona-.....WAIT...I MEAN...""

😂😂😂😂😂😂 https://t.co/xq0GYi5i6o",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258387691966464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leemintho_",106,TRUE,FALSE,NA,NA
"15","RT @MLKChefLean: Sharing this because corona  https://t.co/ofBDQE58RJ",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258387625025536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","G_Sweezy27",23374,TRUE,FALSE,NA,NA
"16","RT @chelle2x: “corona time “😭😭😭😭 https://t.co/iXBMHVcFoY",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258387323035654",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dkr_16",113961,TRUE,FALSE,NA,NA
"17","RT @d_psycho_guru: I just tested positive to the corona virus. I’m too weak to even feel sorry for myself, but I intend to share my symptom…",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258387239206912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mastos_TM",1236,TRUE,FALSE,NA,NA
"18","RT @zzzzaaaacccchhh: MIKE D: Well I'm Mike D but you can call me
EVERY BEASTIE BOY: Mona!
MIKE D: Stayin at home to avoid
EVERY BEASTIE BOY…",FALSE,0,NA,2020-03-18 12:46:57,FALSE,NA,"1240258387096539137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_flyfo",12239,TRUE,FALSE,NA,NA
"19","RT @BeberMichelle: Do they really have the Corona virus?  Or, were these two unsealed indictments?  It has been alleged that Hanks is a ped…",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258386861502469",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","90210Michelle",107,TRUE,FALSE,NA,NA
"20","Makeshift home studio set up in case of a lock down.
Mic ✅
Sound Interface✅
Cat ✅😼 (100 points if you can find the… https://t.co/im7YEsjHQo",FALSE,0,NA,2020-03-18 12:46:56,TRUE,NA,"1240258386140246017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OnAirMatt",0,FALSE,FALSE,NA,NA
"21","To classes of 2020 whether highschool or college I feel for y’all. I know y’all been bustin ur butts studying for y… https://t.co/radVLzzOkx",FALSE,0,NA,2020-03-18 12:46:56,TRUE,NA,"1240258385330810880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ccestrada011",0,FALSE,FALSE,NA,NA
"22","RT @annadalee_: Corona the biggest cockblock in history",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258385100124166",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AemunSh3rwanee_",26428,TRUE,FALSE,NA,NA
"23","RT @MiracleShadrack: Why can't corona virus leave our footballer and start from our politicians 😣😣😣😣😣",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258384890298369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angelemarie_",929,TRUE,FALSE,NA,NA
"24","RT @_Corry23_: Tested for Corona and it came back negative. It reminded me of how my actions had a negative effect on our relationship and…",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258384730959874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FaizelSydney",2,TRUE,FALSE,NA,NA
"25","RT @ellalovesbg: I managed to not look at Corona virus updates today because I was so busy with work but just looked and we had 110 new cas…",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258384244248576",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Desiree97905743",4,TRUE,FALSE,NA,NA
"26","RT @evelynvwoodsen: Corona got us moving like in high school. Who wanna FaceTime all night till the phone get hot?",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258384105857025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BigDaddyDelly69",71776,TRUE,FALSE,NA,NA
"27","RT @annadalee_: Corona the biggest cockblock in history",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258384034742279",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_SarAzevedo_",26428,TRUE,FALSE,NA,NA
"28","RT @BebeRexha: This is NOT A JOKE. A friend of a friend just died of corona at the age of 45. STAY INSIDE YOUR FUCKIN HOUSE AND DO YOUR CIV…",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258383879507970",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrozoVega",50289,TRUE,FALSE,NA,NA
"29","RT @I_Am_Ilemona: There are currently no corona virus testing centres in the entire Northern Nigeria or in the entire South East - a total…",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258383875387393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","u_love_vicky",424,TRUE,FALSE,NA,NA
"30","RT @JGilliam_SEAL: DONT BE ALARMED when US #Covid_19 numbers skyrocket over the next week. The numbers will spike now because more tests ar…",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258383816593438",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PowerPeteB",12565,TRUE,FALSE,NA,NA
"31","RT @DrJamesKent3: An elderly Londoner lady, speaks out about corona:
Warning: Her lingua franca is arguably, a tad exotic. https://t.co/HdD…",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258383678144512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GrizeldaG",12422,TRUE,FALSE,NA,NA
"32","RT @AmeliaHouchins: Trump turned down WHO test kits for corona because the Kushners own Oscar Health, the company that has now been given t…",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258383636246528",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Morris_Pacific",4068,TRUE,FALSE,NA,NA
"33","RT @ToriNicksWho: celebrities are announcing their Corona status like Paid IG Partnerships.",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258383518801920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SheziKhanyisile",2861,TRUE,FALSE,NA,NA
"34","See what a recent customer thinks of our Key Stage 2 English and maths books (aged 7-11). Could our books help keep… https://t.co/9E9neNioDf",FALSE,0,NA,2020-03-18 12:46:56,TRUE,NA,"1240258383275536384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AE_Excellence",0,FALSE,FALSE,NA,NA
"35","RT @maxgribben99: I know I’m not allowed to use this word but corona virus is bloody serious https://t.co/kLjNccPDVj",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258383191646212",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YamatosWife",76219,TRUE,FALSE,NA,NA
"36","RT @shank_comics: I don’t post political stuffs but this is really helpful to fight corona. Nigerians are thinking. https://t.co/DNTQMnWjhB",FALSE,0,NA,2020-03-18 12:46:56,FALSE,NA,"1240258382860357632",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SodiqAdeola98",508,TRUE,FALSE,NA,NA
"37","RT @deepscribble: Bengal was #corona free. Till an Oxford brat came back after partying with his infected London roomies, skipped quarantin…",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258382491029505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pervinsanghvi",2908,TRUE,FALSE,NA,NA
"38","RT @BebeRexha: This is NOT A JOKE. A friend of a friend just died of corona at the age of 45. STAY INSIDE YOUR FUCKIN HOUSE AND DO YOUR CIV…",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258382424137728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","update_roadtrip",50289,TRUE,FALSE,NA,NA
"39","Covid-19 sounds worse put like that... although it’s just corona-virus-disease-2019 😂😂 fucking man up!!",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258382398922752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lukecrang13",0,FALSE,FALSE,NA,NA
"40","RT @nourhan_samra: I’m waiting for the day to hear corona is finally gone and we are safe now..",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258382239543296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","natalya_haddad",331,TRUE,FALSE,NA,NA
"41","RT @aaronneedshelp: my last white blood cell challenging corona to a dance battle for the fate for my body
https://t.co/gdIpoKQoZB",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258382239395840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isabellbankss",37715,TRUE,FALSE,NA,NA
"42","RT @h7seoks: rapunzel’s step mum that stole her wanted to protect her by making her stay inside so she’d be safe from the kingdom... and i…",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258382021287936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hsmitxa",5932,TRUE,FALSE,NA,NA
"43","RT @unisnottaken: Corona Virus will be gone soon. Just keep praying and strengthen your faith in God.",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258381971107841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2k_itsk",28544,TRUE,FALSE,NA,NA
"44","RT @annadalee_: Corona the biggest cockblock in history",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258381299908608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fatpatricia714",26428,TRUE,FALSE,NA,NA
"45","RT @annadalee_: Corona the biggest cockblock in history",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258381094555649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elvampiro77",26428,TRUE,FALSE,NA,NA
"46","@flux_nomad @JoeJSaltarelli @CNN yup. and clyb*rn is evil.. gee I wonder how many butts he kissed in that room w po… https://t.co/HOisOeMFQt",FALSE,0,"flux_nomad",2020-03-18 12:46:55,TRUE,"1240081621249908740","1240258380205363202","4688373872","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chrisgreene125",0,FALSE,FALSE,NA,NA
"47","@barandbench Court should send corona virus in jail for Contempt of Court 🤟",FALSE,0,"barandbench",2020-03-18 12:46:55,FALSE,"1240253581623808004","1240258380066779139","67577895","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","reluctantmuslim",0,FALSE,FALSE,NA,NA
"48","RT @felixIees: BYEEE FELIX WAS TRYING TO GUESS CHRONOSAURUS BUT ACCIDENTALLY SAID CORONA INSTEAD https://t.co/IuoSDsXutx",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258379932504072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","liebelix",29,TRUE,FALSE,NA,NA
"49","RT @aaronneedshelp: my last white blood cell challenging corona to a dance battle for the fate for my body
https://t.co/gdIpoKQoZB",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258379844591616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","b_ducharme_",37715,TRUE,FALSE,NA,NA
"50","RT @SaiPras75383884: Iam going To China  To Destroy The corona Virus.    wait for it   ... 😂😂
#CoronavirusOutbreak  #ChineseVirus https://t…",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258379605401600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gopalgtgorur",8,TRUE,FALSE,NA,NA
"51","RT @h7seoks: rapunzel’s step mum that stole her wanted to protect her by making her stay inside so she’d be safe from the kingdom... and i…",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258379437637633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrndaabgl",5932,TRUE,FALSE,NA,NA
"52","RT @itsindysev: so you’re tellin me rapunzel was in quarantine all her life cause her mom was hiding her from CORONA https://t.co/Urcimv6LWN",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258379412619264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kxrxnl",65695,TRUE,FALSE,NA,NA
"53","Throwback to the time literally last week where I took hand sanitizer into class because of Corona, put it on my ha… https://t.co/7f1wjMnRCC",FALSE,0,NA,2020-03-18 12:46:55,TRUE,NA,"1240258378783432704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ImSpongebabe",0,FALSE,FALSE,NA,NA
"54","We just need that Love &amp; Peace with all this Corona Madness. Not hate homies, not hate. https://t.co/ZQM1FbNPkC",FALSE,0,NA,2020-03-18 12:46:55,FALSE,NA,"1240258378724782083",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lucatucconi",0,FALSE,FALSE,NA,NA
"55","my dad just sent me 2 scary Corona patient videos and I'm legit scared rn.",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258378590388224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kvl223",0,FALSE,FALSE,NA,NA
"56","RT @jsadiq: Actually draft this guy in to the National Security Council cos he's doing a better and clearer job of telling it as it is.
#Co…",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258378435145728",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","edinidzuddin",130,TRUE,FALSE,NA,NA
"57","@ArrowheadCad @Cadillac as a concerned child of an employee there, what precautions are you all taking to protect y… https://t.co/y6YdWByXDZ",FALSE,0,"ArrowheadCad",2020-03-18 12:46:54,TRUE,NA,"1240258378108149765","69652710","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AntHull",0,FALSE,FALSE,NA,NA
"58","RT @d_psycho_guru: I just tested positive to the corona virus. I’m too weak to even feel sorry for myself, but I intend to share my symptom…",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258377785249799",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YBTunz_MOI",1236,TRUE,FALSE,NA,NA
"59","RT @MirMAKOfficial: The #Indian News Channel #ZEENews runs a headline that says:

“Now PAKISTAN will die the death of #Corona.”

These GHAT…",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258377642659840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kounhoonmein",644,TRUE,FALSE,NA,NA
"60","RT @robins_aimee: saying covid 19 instead of corona virus",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258377592320003",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JemmiaJ_",44934,TRUE,FALSE,NA,NA
"61","RT @hanniesuwu: DID FELIX REALLY SAID CORONA INSTEAD OF CHRONOSAURUS",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258377319624704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","staykisses",1,TRUE,FALSE,NA,NA
"62","RT @Cherokee_Owl: I’m curious what Twitter Patriots will be doing during the Corona Virus 🦠 Shut down. 

While America is in shut down mode…",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258376879280128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sam2323_43433",284,TRUE,FALSE,NA,NA
"63","RT @jsadiq: Photo-op gone awry. One gets scanned but all get through. Enough of this crap.

#Covid_19 https://t.co/fP9MR58hah",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258375914409984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NURAZZWANY",1348,TRUE,FALSE,NA,NA
"64","RT @Vishesh4: He is correct. Sensex moving from ~ 41k to ~ 31k is due to BJP misrule. 
Corona impact is still to come.",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258375776010240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aageyse_Left",227,TRUE,FALSE,NA,NA
"65","word on the street is that corona has reached the west rand... gotdamn.",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258375520342018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsHebru",0,FALSE,FALSE,NA,NA
"66","RT @LilNasX: are people allowed to be born right now with all the corona stuff going on?",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258375461548032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hevdrobertson",15632,TRUE,FALSE,NA,NA
"67","Corona who? https://t.co/jT4PcYO7r7",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258375394267137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wiehiksan",0,FALSE,FALSE,NA,NA
"68","RT @shmesm2: felix was trying to guess chronosaurus
but he was like ""corona-.....WAIT...I MEAN...""

😂😂😂😂😂😂 https://t.co/xq0GYi5i6o",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258375222300673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pacar_dowoon",106,TRUE,FALSE,NA,NA
"69","RT @covid2019_info: 🇮🇹 Alert info - #Coronavirus pandemic: #Turin patient 1, a man in his forties, is again detected as infected by #COVID2…",FALSE,0,NA,2020-03-18 12:46:54,FALSE,NA,"1240258374987657217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","m7med_shadan",28,TRUE,FALSE,NA,NA
"70","@one_by_two Seems corona has hit you hard ,you are a special case it has hit your brains",FALSE,0,"one_by_two",2020-03-18 12:46:54,FALSE,"1240200301744771072","1240258374895169537","28515858","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drkunalguptabds",0,FALSE,FALSE,NA,NA
"71","RT @chelle2x: “corona time “😭😭😭😭 https://t.co/iXBMHVcFoY",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258374316331010",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_DrewDown86",113961,TRUE,FALSE,NA,NA
"72","RT @IamPamManuel: Watch Vico Sotto defeat Corona Virus the way he defeated the Eusebio dynasty.",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258373758550016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_vaccinium",1390,TRUE,FALSE,NA,NA
"73","RT @HManyora: Today, I withdraw the respect I had for health CS @MutahiKagwe1 . This is after listening to him today. How can the CS justif…",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258373414727683",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mercybringel",362,TRUE,FALSE,NA,NA
"74","RT @TheFigensezgin: The new trend with the Corona outbreak. 🤣🤣
https://t.co/dvg4wcHWfw",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258373075025920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MustaphaOmari7",28,TRUE,FALSE,NA,NA
"75","RT @666tint: went into speedmart WITH A MASK to buy tepung beras and this grandpa LOUDLY AND CLEARLY told his grandkids ‘adik jangan dekat…",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258373003538435",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bazzinesss",3665,TRUE,FALSE,NA,NA
"76","RT @PlantationFLA: March 17th 2020 - 4:00 pm Corona Virus Update
.
https://t.co/hAgXq7fbve
.
#PlantationFL #CDC #Prevention #Coronavirus #C…",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258372932374530",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeniseHorland",2,TRUE,FALSE,NA,NA
"77","RT @tellquint: My honest take on Corona is that yes this is bad and should be taken seriously.

But if you understand anything about power…",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258372823384065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MO0NGYAL",4694,TRUE,FALSE,NA,NA
"78","RT @jsadiq: Photo-op gone awry. One gets scanned but all get through. Enough of this crap.

#Covid_19 https://t.co/fP9MR58hah",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258372777074690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sirkhairulll",1348,TRUE,FALSE,NA,NA
"79","RT @itsindysev: so you’re tellin me rapunzel was in quarantine all her life cause her mom was hiding her from CORONA https://t.co/Urcimv6LWN",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258372726714368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pluviophiluv",65695,TRUE,FALSE,NA,NA
"80","@litoltigerr ss to youuu😊❤️ ITS CORONA TIME 😂",FALSE,0,"litoltigerr",2020-03-18 12:46:53,FALSE,"1240236274364997632","1240258372491857922","2406636734","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChenniHu",0,FALSE,FALSE,NA,NA
"81","Did anyone check the Simpsons to see how long this Corona thing will last?",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258372047458304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Duncan_Johnson5",0,FALSE,FALSE,NA,NA
"82","RT @BJP4Karnataka: Seeking to boost the preparedness to combat #COVID19 , PM Sri @narendramodi Govt has ordered private hospitals to reserv…",FALSE,0,NA,2020-03-18 12:46:53,FALSE,NA,"1240258371657191424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PARVATHINP",22,TRUE,FALSE,NA,NA
